id,user_id,word,meaning
1,1,scroll,"स्क्रॉल
Examples:
- I ordered a glass of lemonade and a coffee scroll.
- She scrolled the offending image out of view."
3,2,tester,टेस्टर
4,1,Vocabulary ,"शब्दावली
Examples:
- My Russian vocabulary is very limited.
- The vocabulary of social sciences is often incomprehensible to ordinary people."
5,2,Plug,"प्लग
Examples:
- I pushed the plug back into the electrical socket and the lamp began to glow again.
- Pull the plug out of the tub so it can drain."
6,2,Switch,"बदलना
Examples:
- Use the /b switch to specify black-and-white printing.
- 2004, ""Curt"", Can I use IF statements, and still use switches? (on newsgroup microsoft.public.word.mailmerge.fields)"
7,2,Door,"दरवाजा
Examples:
- I knocked on the vice president's door
- the 24 doors in an Advent calendar"
8,2,nose,"नाक
Examples:
- She has a cold in the nose.
- the nose of a tea-kettle, a bellows, or a fighter plane"
9,2,hand,"हाथ
Examples:
- Her hands are really strong.
- an old hand at speaking;  large farms need many farm hands"
10,2,Her hands are really strong.,उसके हाथ वास्तव में मजबूत हैं।
11,2,mobile,"गतिमान
Examples:
- there are many business opportunities in mobile
- a mobile home"
14,2,beginning,"शुरुआत
Examples:
- What was the beginning of the dispute?
- That house is at the beginning of the street."
16,2,biginning sound,शुरुआत ध्वनि
17,2,identify,"पहचान करना
Examples:
- The Associated Press will not identify the suspect of the crime because he is a juvenile."
18,2,center,"केंद्र
Examples:
- shopping center, convention center, civic center, garment center, Lincoln Center for the Performing Arts, Rockefeller Center
- the center of attention"
19,2,around,"आस-पास
Examples:
- Is Clare around today?
- ""How is old Bob? I heard that his health is failing.""  ""Oh, he's still around. He's feeling better now."""
20,2,with its sound,इसकी आवाज़ के साथ
22,2,odd one out in each row,प्रत्येक पंक्ति में एक अजीब
23,2,uppercase,अपरकेस
26,2,trace,"पता लगाना
Examples:
- Your cell phone company can put a trace on your line.
- There are traces of chocolate around your lips."
27,2,each,"प्रत्येक
Examples:
- The apples cost 50 cents each.
- From each according to his ability, to each according to his needs."
28,2,case,"मामला
Examples:
- For a change, in this case, he was telling the truth.
- It was one of the detective's easiest cases.  Social workers should work on a maximum of forty active cases.  The doctor told us of an interesting case he had treated that morning."
29,2,same colour,एक ही रंग
30,2,observe,"निरीक्षण
Examples:
- From this vantage point we can observe the behavior of the animals in their natural habitat.
- Please observe all posted speed limits."
32,2,vocabulary  development,शब्दावली विकास
36,1,Particulars ,"विवरण
Examples:
- The overall plan is well understood, but we still have to work out the particulars."
37,1,Data after due date,नियत तिथि के बाद आंकड़ा
39,2,prompts,"संकेतों
Examples:
- I filled in my name where the prompt appeared on the computer screen but my account wasn't recognized.
- I prompted him to get a new job."
41,2,holding,"पकड़े
Examples:
- Hold the pencil like this.
- This package holds six bottles."
42,2,celebrate,"जश्न मनाना
Examples:
- to celebrate the name of the Most High
- to celebrate a birthday"
43,2,them,उन्हें
44,2,them,उन्हें
45,2,leave,छुट्टी
46,2,wagging,"लहरदार
Examples:
- the waggings of a dog's tail"
47,2,tails,"पूंछ
Examples:
- Most primates have a tail and fangs.
- I'm gonna get me some tail tonight."
48,2,behind,"पीछे
Examples:
- to look behind
- I'm two weeks behind in my schedule."
49,2,that,"वह
Examples:
- ""The ribbon was that thin."" ""I disagree, I say it was not that thin, it was thicker... or maybe thinner...""
- I did the run last year, and it wasn't that difficult."
50,2,trace,"पता लगाना
Examples:
- Your cell phone company can put a trace on your line.
- There are traces of chocolate around your lips."
51,2,both,"दोनों
Examples:
- ""Did you want this one or that one?"" — ""Give me both.""
- Both you and I are students."
52,2,with,"साथ
Examples:
- Do you want to come with?
- He picked a fight with the class bully."
54,2,using,"का उपयोग करते हुए
Examples:
- soldiers who are used to hardships and danger
- I used to get things done."
55,2,labeled,"लेबल
Examples:
- The shop assistant labeled all the products in the shop.
- He's been unfairly labeled as a cheat, although he's only ever cheated once."
56,2,where,"कहाँ
Examples:
- A good article will cover the who, the what, the when, the where, the why and the how.
- He asked where I grew up."
57,2,what,"क्या
Examples:
- The market will calculate these higher risks in their funding costs what might result in higher lending rates.
- What a beautiful day!"
58,2,has,"है
Examples:
- I have a house and a car.
- Do you have the key? (not necessarily one's own key)"
